mouse,group,condition,laser,time_min,cum_lick_pct
103_4,nac,stim,OFF,54.0,99.87515605493134
103_4,nac,stim,ON,57.0,100.0
202_1,control,mock,OFF,0.0,21.96969696969697
202_1,control,mock,ON,3.0,28.40909090909091
202_1,control,mock,OFF,6.0,49.81060606060606
202_1,control,mock,ON,9.0,51.70454545454546
202_1,control,mock,OFF,12.0,51.70454545454546
202_1,control,mock,ON,15.0,51.70454545454546
202_1,control,mock,OFF,18.0,59.09090909090909
202_1,control,mock,ON,21.0,59.09090909090909
202_1,control,mock,OFF,24.0,59.09090909090909
202_1,control,mock,ON,27.0,59.09090909090909
202_1,control,mock,OFF,30.0,59.09090909090909
202_1,control,mock,ON,33.0,71.5909090909091
202_1,control,mock,OFF,36.0,71.5909090909091
202_1,control,mock,ON,39.0,71.5909090909091
202_1,control,mock,OFF,42.0,87.5
202_1,control,mock,ON,45.0,87.5
202_1,control,mock,OFF,48.0,100.0
202_1,control,mock,ON,51.0,100.0
202_1,control,mock,OFF,54.0,100.0
202_1,control,mock,ON,57.0,100.0
202_1,control,stim,OFF,0.0,28.645833333333332
202_1,control,stim,ON,3.0,45.83333333333333
202_1,control,stim,OFF,6.0,68.75
202_1,control,stim,ON,9.0,68.75
202_1,control,stim,OFF,12.0,68.75
202_1,control,stim,ON,15.0,68.75
202_1,control,stim,OFF,18.0,70.3125
202_1,control,stim,ON,21.0,70.3125
202_1,control,stim,OFF,24.0,70.3125
202_1,control,stim,ON,27.0,74.47916666666666
202_1,control,stim,OFF,30.0,76.5625
202_1,control,stim,ON,33.0,76.5625
202_1,control,stim,OFF,36.0,76.5625
202_1,control,stim,ON,39.0,76.5625
202_1,control,stim,OFF,42.0,76.5625
202_1,control,stim,ON,45.0,79.16666666666666
202_1,control,stim,OFF,48.0,100.0
202_1,control,stim,ON,51.0,100.0
202_1,control,stim,OFF,54.0,100.0
202_1,control,stim,ON,57.0,100.0
204_1,control,mock,OFF,0.0,39.63178294573643
